time,open,low,close,volume
2015-03-02T08:00:00+08:00,85.0,83.6,87.0,1765980.0
2015-03-03T08:00:00+08:00,84.0,83.5,83.6,505150.0
2015-03-04T08:00:00+08:00,83.8,83.8,86.6,2030340.0
2015-03-05T08:00:00+08:00,86.6,85.5,85.8,619890.0
2015-03-06T08:00:00+08:00,85.8,84.0,84.2,1296600.0
2015-03-09T08:00:00+08:00,84.9,84.6,84.9,329310.0
2015-03-10T08:00:00+08:00,85.5,85.5,86.15,2460140.0
2015-03-11T08:00:00+08:00,87.2,86.0,86.7,623660.0
2015-03-12T08:00:00+08:00,87.0,86.5,88.0,3170650.0
2015-03-13T08:00:00+08:00,88.95,87.0,87.0,2150000.0
2015-03-16T08:00:00+08:00,87.0,85.3,85.9,723130.0
2015-03-17T08:00:00+08:00,86.5,85.3,85.5,1341430.0
2015-03-18T08:00:00+08:00,85.15,84.9,85.75,700610.0
2015-03-19T08:00:00+08:00,85.65,85.65,87.0,1296100.0
2015-03-20T08:00:00+08:00,87.0,87.0,89.0,2878580.0
2015-03-23T08:00:00+08:00,88.95,87.55,88.7,564980.0
2015-03-24T08:00:00+08:00,89.0,84.0,84.95,4789240.0
2015-03-25T08:00:00+08:00,85.0,84.6,84.8,3607850.0
2015-03-26T08:00:00+08:00,84.4,84.0,84.8,1704160.0
2015-03-27T08:00:00+08:00,86.5,84.5,84.55,1242340.0
2015-03-30T08:00:00+08:00,84.3,84.0,85.5,1103670.0
2015-03-31T08:00:00+08:00,85.5,84.0,84.0,737150.0
2015-04-01T08:00:00+08:00,84.05,84.0,84.5,1622810.0
2015-04-06T08:00:00+08:00,84.5,84.0,84.2,791990.0
2015-04-07T08:00:00+08:00,84.2,83.8,84.0,959520.0
2015-04-08T08:00:00+08:00,84.2,84.2,84.7,1129880.0
2015-04-10T08:00:00+08:00,84.0,83.8,84.25,1599580.0
2015-04-13T08:00:00+08:00,84.1,82.75,83.1,2803970.0
2015-04-14T08:00:00+08:00,83.1,82.65,86.0,1709050.0
2015-04-15T08:00:00+08:00,86.5,84.45,85.0,1989470.0
2015-04-16T08:00:00+08:00,85.1,84.85,85.5,2326360.0
2015-04-17T08:00:00+08:00,85.5,84.0,84.0,899190.0
2015-04-20T08:00:00+08:00,84.0,82.3,83.0,999750.0
2015-04-21T08:00:00+08:00,83.2,82.8,84.0,813470.0
2015-04-22T08:00:00+08:00,84.0,83.0,83.6,1128360.0
2015-04-23T08:00:00+08:00,84.0,84.0,86.25,1188800.0
2015-04-24T08:00:00+08:00,86.3,86.3,86.95,1599390.0
2015-04-27T08:00:00+08:00,85.0,85.0,87.3,1266410.0
2015-04-28T08:00:00+08:00,87.2,87.2,87.4,1245300.0
2015-04-29T08:00:00+08:00,87.1,85.0,85.35,872320.0
2015-04-30T08:00:00+08:00,85.35,85.0,87.0,1172530.0
2015-05-04T08:00:00+08:00,87.0,86.0,86.1,162520.0
2015-05-05T08:00:00+08:00,85.95,85.9,85.9,1677620.0
2015-05-06T08:00:00+08:00,86.95,85.9,85.9,309230.0
2015-05-07T08:00:00+08:00,85.45,84.55,84.95,768590.0
2015-05-08T08:00:00+08:00,85.0,84.8,85.5,329630.0
